,Title,Act,Scene,Frequency_km,Structural_km
786,Sonnets,1,34,0,0
787,Sonnets,1,35,0,0
788,Sonnets,1,36,0,0
789,Sonnets,1,37,0,0
790,Sonnets,1,38,0,1
791,Sonnets,1,39,0,1
792,Sonnets,1,40,0,1
793,Sonnets,1,41,0,1
794,Sonnets,1,42,0,0
795,Sonnets,1,43,0,0
796,Sonnets,1,44,0,0
797,Sonnets,1,45,0,0
798,Sonnets,1,46,0,0
799,Sonnets,1,47,0,2
800,Sonnets,1,48,0,0
801,Sonnets,1,49,0,2
802,Sonnets,1,50,0,0
803,Sonnets,1,51,0,0
804,Sonnets,1,52,0,1
805,Sonnets,1,53,0,1
806,Sonnets,1,54,0,1
807,Sonnets,1,55,0,1
808,Sonnets,1,56,0,0
809,Sonnets,1,57,0,0
810,Sonnets,1,58,0,1
811,Sonnets,1,59,0,1
812,Sonnets,1,60,0,0
813,Sonnets,1,61,0,1
814,Sonnets,1,62,0,1
815,Sonnets,1,63,0,2
816,Sonnets,1,64,0,0
817,Sonnets,1,65,0,1
818,Sonnets,1,66,0,2
819,Sonnets,1,67,0,1
820,Sonnets,1,68,0,2
821,Sonnets,1,69,0,0
822,Sonnets,1,70,0,0
823,Sonnets,1,71,0,0
824,Sonnets,1,72,0,0
825,Sonnets,1,73,0,0
826,Sonnets,1,74,0,0
827,Sonnets,1,75,0,0
828,Sonnets,1,76,0,0
829,Sonnets,1,77,0,1
830,Sonnets,1,78,0,0
831,Sonnets,1,79,0,1
832,Sonnets,1,80,0,0
833,Sonnets,1,81,0,0
834,Sonnets,1,82,0,2
835,Sonnets,1,83,0,0
836,Sonnets,1,84,0,1
837,Sonnets,1,85,0,1
838,Sonnets,1,86,0,1
839,Sonnets,1,87,0,1
840,Sonnets,1,88,0,0
841,Sonnets,1,89,0,0
842,Sonnets,1,90,0,0
843,Sonnets,1,91,0,0
844,Sonnets,1,92,0,1
845,Sonnets,1,93,0,0
846,Sonnets,1,94,0,0
847,Sonnets,1,95,0,1
848,Sonnets,1,96,0,1
849,Sonnets,1,97,0,0
850,Sonnets,1,98,0,0
851,Sonnets,1,99,0,0
852,Sonnets,1,100,0,1
853,Sonnets,1,101,0,1
854,Sonnets,1,102,0,0
855,Sonnets,1,103,0,1
856,Sonnets,1,104,0,0
857,Sonnets,1,105,0,1
858,Sonnets,1,106,0,0
859,Sonnets,1,107,0,0
860,Sonnets,1,108,0,0
861,Sonnets,1,109,0,0
862,Sonnets,1,110,0,0
863,Sonnets,1,111,0,0
864,Sonnets,1,112,0,1
865,Sonnets,1,113,0,2
866,Sonnets,1,114,0,0
867,Sonnets,1,115,0,0
868,Sonnets,1,116,0,1
869,Sonnets,1,117,0,0
870,Sonnets,1,118,0,0
871,Sonnets,1,119,0,1
872,Sonnets,1,120,0,0
873,Sonnets,1,121,0,0
874,Sonnets,1,122,0,0
875,Sonnets,1,123,0,1
876,Sonnets,1,124,0,0
877,Sonnets,1,125,0,1
878,Sonnets,1,126,0,0
879,Sonnets,1,127,0,0
880,Sonnets,1,128,0,0
881,Sonnets,1,129,0,0
882,Sonnets,1,130,0,0
883,Sonnets,1,131,0,0
884,Sonnets,1,132,0,0
885,Sonnets,1,133,0,0
886,Sonnets,1,134,0,0
887,Sonnets,1,135,0,1
888,Sonnets,1,136,0,0
889,Sonnets,1,137,0,1
890,Sonnets,1,138,0,1
891,Sonnets,1,139,0,0
892,Sonnets,1,140,0,0
893,Sonnets,1,141,0,2
894,Sonnets,1,142,0,0
895,Sonnets,1,143,0,0
896,Sonnets,1,144,0,0
897,Sonnets,1,145,0,2
898,Sonnets,1,146,0,1
899,Sonnets,1,147,0,0
900,Sonnets,1,148,0,1
901,Sonnets,1,149,0,1
902,Sonnets,1,150,0,1
903,Sonnets,1,151,0,0
904,Sonnets,1,152,0,0
905,Sonnets,1,153,0,0
906,Sonnets,1,154,0,0
